id,System.Title,System.State,System.CreatedDate,System.ChangedDate,System.AssignedTo
1,Update front-end library versions,New,2024-12-27T03:03:46.047Z,2024-12-28T20:02:57.027Z,
2,Duplicate Entries in Logs,New,2024-12-27T03:03:48.58Z,2024-12-28T19:31:11.17Z,
3,Error on Data Import,New,2024-12-27T03:03:49.927Z,2024-12-28T19:31:12.643Z,
4,"As a user, I need autocomplete for forms",New,2024-12-27T03:03:51.877Z,2024-12-28T19:38:14.087Z,
5,Duplicate Entries in Logs,New,2024-12-27T03:03:52.077Z,2024-12-28T19:31:14.183Z,
6,Add tooltip for new button,New,2024-12-27T03:03:52.297Z,2024-12-28T20:02:58.227Z,
7,Document deployment process,New,2024-12-27T03:03:52.98Z,2024-12-28T20:02:59.48Z,
8,Improve UI responsiveness,New,2024-12-27T03:03:54.52Z,2024-12-28T20:03:00.663Z,
9,"As an admin, I need to manage user roles",New,2024-12-27T03:03:55.477Z,2024-12-28T19:38:15.283Z,
10,Broken Pagination Controls,New,2024-12-27T03:03:55.85Z,2024-12-28T19:31:15.477Z,
11,Optimize image loading,New,2024-12-27T03:03:56.34Z,2024-12-28T20:03:01.92Z,
12,Broken Link in Footer,New,2024-12-27T03:03:56.533Z,2024-12-28T19:31:16.73Z,
13,"As a user, I need multi-language support",New,2024-12-27T03:03:57.873Z,2024-12-28T19:38:16.513Z,
14,Data Not Saving Properly,New,2024-12-27T03:03:58.087Z,2024-12-28T19:31:18.09Z,
15,High Latency in Requests,New,2024-12-27T03:03:58.78Z,2024-12-28T19:31:19.36Z,
16,"As a user, I need autocomplete for forms",New,2024-12-27T03:03:59.103Z,2024-12-28T19:38:17.687Z,
17,Document deployment process,New,2024-12-27T03:03:59.723Z,2024-12-28T20:03:03.103Z,
18,Data Not Saving Properly,New,2024-12-27T03:04:00.763Z,2024-12-28T19:31:20.65Z,
19,Document deployment process,New,2024-12-27T03:04:02.09Z,2024-12-28T20:03:04.28Z,
20,Improve SEO for landing page,New,2024-12-27T03:04:04.283Z,2024-12-28T20:03:05.497Z,
21,UI Alignment Issue on Dashboard,New,2024-12-27T03:04:04.643Z,2024-12-28T19:15:46.983Z,
22,Update API documentation,New,2024-12-27T03:04:04.82Z,2024-12-28T20:03:06.7Z,
23,Update API documentation,New,2024-12-27T03:04:05.007Z,2024-12-28T20:03:07.94Z,
24,"As a user, I need to change my email address",New,2024-12-27T03:04:06.49Z,2024-12-28T19:38:18.913Z,
25,Debug performance issue in report generation,New,2024-12-27T03:04:07.003Z,2024-12-28T20:03:09.137Z,
26,Set up logging for analytics,New,2024-12-27T03:04:07.19Z,2024-12-28T20:03:10.39Z,
27,Update API documentation,New,2024-12-27T03:04:07.35Z,2024-12-28T20:03:11.573Z,
28,Add tooltip for new button,New,2024-12-27T03:04:09.1Z,2024-12-28T20:03:12.78Z,
29,"As a user, I want to customize my dashboard",New,2024-12-27T03:04:09.29Z,2024-12-28T19:38:20.117Z,
30,Improve error handling in service Y,New,2024-12-27T03:04:09.963Z,2024-12-28T20:03:13.993Z,
31,"As a user, I want a mobile-friendly version",New,2024-12-27T03:04:10.163Z,2024-12-28T19:38:21.3Z,
32,Dropdown Menu Not Working,New,2024-12-27T03:04:10.557Z,2024-12-28T19:31:23.087Z,
33,"As an admin, I want to monitor system logs",New,2024-12-27T03:04:11.09Z,2024-12-28T19:38:22.5Z,
34,"As a developer, I need detailed error logs",New,2024-12-27T03:04:12.767Z,2024-12-28T19:38:23.68Z,
35,Add unit tests for new feature,New,2024-12-27T03:04:13.103Z,2024-12-28T20:03:15.24Z,
36,"As a user, I want to export data",New,2024-12-27T03:04:13.663Z,2024-12-28T19:38:24.883Z,
37,Update README with latest changes,New,2024-12-27T03:04:14.377Z,2024-12-28T20:03:16.473Z,
38,Session Expiration Not Handled,New,2024-12-27T03:04:15.67Z,2024-12-28T19:31:24.327Z,
39,Improve SEO for landing page,New,2024-12-27T03:04:16.41Z,2024-12-28T20:03:17.68Z,
40,404 Error on Resource Fetch,New,2024-12-27T03:04:16.953Z,2024-12-28T19:31:25.557Z,
41,Fix alignment issues in mobile view,New,2024-12-27T03:04:18.37Z,2024-12-28T20:03:18.883Z,
42,Session Cookie Not Set,New,2024-12-27T03:04:18.71Z,2024-12-28T19:31:26.94Z,
43,Fix session expiration issue,New,2024-12-27T03:04:19.477Z,2024-12-28T20:03:20.097Z,
44,"As a user, I want a dark mode option",New,2024-12-27T03:04:20.72Z,2024-12-28T19:38:26.067Z,
45,Update front-end library versions,New,2024-12-27T03:04:21.907Z,2024-12-28T20:03:21.453Z,
46,Performance Issue on Load,New,2024-12-27T03:04:22.093Z,2024-12-28T19:31:28.13Z,
47,"As a user, I want to reset my password",New,2024-12-27T03:04:22.453Z,2024-12-28T19:38:27.263Z,
48,Integrate payment gateway,New,2024-12-27T03:04:22.957Z,2024-12-28T20:03:22.653Z,
49,Implement caching for API,New,2024-12-27T03:04:23.277Z,2024-12-28T20:03:23.843Z,
50,File Upload Fails,New,2024-12-27T03:04:24.35Z,2024-12-28T19:31:29.35Z,
51,"As an admin, I need to view system analytics",New,2024-12-27T03:04:24.793Z,2024-12-28T19:38:28.47Z,
52,Search Results Not Accurate,New,2024-12-27T03:04:25.34Z,2024-12-28T19:31:30.547Z,
53,Update API documentation,New,2024-12-27T03:04:25.663Z,2024-12-28T20:03:25.053Z,
54,"As a user, I want to set my timezone",New,2024-12-27T03:04:27.817Z,2024-12-28T19:38:29.74Z,
55,Improve UI responsiveness,New,2024-12-27T03:04:29.037Z,2024-12-28T20:03:26.267Z,
