id,System.Title,System.State,System.CreatedDate,System.ChangedDate,System.AssignedTo
1,Update front-end library versions,New,27/12/2024,28/12/2024,
2,Duplicate Entries in Logs,New,27/12/2024,28/12/2024,
3,Error on Data Import,New,27/12/2024,28/12/2024,
4,"As a user, I need autocomplete for forms",New,27/12/2024,28/12/2024,
5,Duplicate Entries in Logs,New,27/12/2024,28/12/2024,
6,Add tooltip for new button,New,27/12/2024,28/12/2024,
7,Document deployment process,New,27/12/2024,28/12/2024,
8,Improve UI responsiveness,New,27/12/2024,28/12/2024,
9,"As an admin, I need to manage user roles",New,27/12/2024,28/12/2024,
10,Broken Pagination Controls,New,27/12/2024,28/12/2024,
11,Optimize image loading,New,27/12/2024,28/12/2024,
12,Broken Link in Footer,New,27/12/2024,28/12/2024,
13,"As a user, I need multi-language support",New,27/12/2024,28/12/2024,
14,Data Not Saving Properly,New,27/12/2024,28/12/2024,
15,High Latency in Requests,New,27/12/2024,28/12/2024,
16,"As a user, I need autocomplete for forms",New,27/12/2024,28/12/2024,
17,Document deployment process,New,27/12/2024,28/12/2024,
18,Data Not Saving Properly,New,27/12/2024,28/12/2024,
19,Document deployment process,New,27/12/2024,28/12/2024,
20,Improve SEO for landing page,New,27/12/2024,28/12/2024,
21,UI Alignment Issue on Dashboard,New,27/12/2024,28/12/2024,
22,Update API documentation,New,27/12/2024,28/12/2024,
23,Update API documentation,New,27/12/2024,28/12/2024,
24,"As a user, I need to change my email address",New,27/12/2024,28/12/2024,
25,Debug performance issue in report generation,New,27/12/2024,28/12/2024,
26,Set up logging for analytics,New,27/12/2024,28/12/2024,
27,Update API documentation,New,27/12/2024,28/12/2024,
28,Add tooltip for new button,New,27/12/2024,28/12/2024,
29,"As a user, I want to customize my dashboard",New,27/12/2024,28/12/2024,
30,Improve error handling in service Y,New,27/12/2024,28/12/2024,
31,"As a user, I want a mobile-friendly version",New,27/12/2024,28/12/2024,
32,Dropdown Menu Not Working,New,27/12/2024,28/12/2024,
33,"As an admin, I want to monitor system logs",New,27/12/2024,28/12/2024,
34,"As a developer, I need detailed error logs",New,27/12/2024,28/12/2024,
35,Add unit tests for new feature,New,27/12/2024,28/12/2024,
36,"As a user, I want to export data",New,27/12/2024,28/12/2024,
37,Update README with latest changes,New,27/12/2024,28/12/2024,
